
Channel      Spectral axis      Intensity
3.90000E+02      1.402187744E+03   -2.30720E-02
3.91000E+02      1.402125244E+03   -1.05594E-02
3.92000E+02      1.402062744E+03   -2.20038E-02
3.93000E+02      1.402000244E+03   -8.42310E-03
3.94000E+02      1.401937744E+03   -8.42310E-03
3.95000E+02      1.401875244E+03   -6.28680E-03
3.96000E+02      1.401812744E+03   -1.07120E-02
3.97000E+02      1.401750244E+03    4.54727E-03
3.98000E+02      1.401687744E+03    4.54727E-03
3.99000E+02      1.401625244E+03   -1.08646E-02
4.00000E+02      1.401562744E+03    1.76702E-02
4.01000E+02      1.401500244E+03   -2.99386E-02
4.02000E+02      1.401437744E+03   -1.08646E-02
4.03000E+02      1.401375244E+03   -1.04068E-02
4.04000E+02      1.401312744E+03   -2.81075E-02
4.05000E+02      1.401250244E+03    2.56050E-02
4.06000E+02      1.401187744E+03    1.59917E-02
4.07000E+02      1.401125244E+03   -8.27050E-03
4.08000E+02      1.401062744E+03   -8.88088E-03
4.09000E+02      1.401000244E+03    6.37838E-03
4.10000E+02      1.400937744E+03   -2.59712E-02
4.11000E+02      1.400875244E+03    1.49542E-03
4.12000E+02      1.400812744E+03   -1.28483E-02
4.13000E+02      1.400750244E+03   -1.11698E-02
4.14000E+02      1.400687744E+03    1.17191E-02
4.15000E+02      1.400625244E+03   -4.60828E-03
4.16000E+02      1.400562744E+03   -2.56661E-02
4.17000E+02      1.400500244E+03    7.59912E-03
4.18000E+02      1.400437744E+03    2.95724E-02
4.19000E+02      1.400375244E+03    8.85048E-04
4.20000E+02      1.400312744E+03    4.11695E-02
4.21000E+02      1.400250244E+03    4.22376E-02
4.22000E+02      1.400187744E+03   -1.97149E-02
4.23000E+02      1.400125244E+03    2.24006E-02
4.24000E+02      1.400062744E+03   -2.78024E-02
4.25000E+02      1.400000244E+03   -5.52690E-02
4.26000E+02      1.399937744E+03    2.72836E-02
4.27000E+02      1.399875244E+03   -1.28483E-02
4.28000E+02      1.399812744E+03    1.96539E-02
4.29000E+02      1.399750244E+03   -1.13224E-02
4.30000E+02      1.399687744E+03   -2.33772E-02
4.31000E+02      1.399625244E+03    6.83616E-03
4.32000E+02      1.399562744E+03    9.88801E-03
4.33000E+02      1.399500244E+03   -9.79643E-03
4.34000E+02      1.399437744E+03    1.82806E-02
4.35000E+02      1.399375244E+03    2.07221E-02
4.36000E+02      1.399312744E+03    2.97250E-02
4.37000E+02      1.399250244E+03   -1.30009E-02
4.38000E+02      1.399187744E+03   -2.81075E-02
4.39000E+02      1.399125244E+03    1.18717E-02
4.40000E+02      1.399062744E+03    1.73650E-02
4.41000E+02      1.399000244E+03    6.53097E-03
4.42000E+02      1.398937744E+03   -8.72828E-03
4.43000E+02      1.398875244E+03   -1.17801E-02
4.44000E+02      1.398812744E+03   -1.43742E-02
4.45000E+02      1.398750244E+03   -1.42216E-02
4.46000E+02      1.398687744E+03   -6.43939E-03
4.47000E+02      1.398625244E+03    1.15665E-02
4.48000E+02      1.398562744E+03   -1.87994E-02
4.49000E+02      1.398500244E+03   -3.78735E-02
4.50000E+02      1.398437744E+03   -8.57569E-03
4.51000E+02      1.398375244E+03   -6.59199E-03
4.52000E+02      1.398312744E+03   -1.55643E-03
4.53000E+02      1.398250244E+03   -2.18512E-02
4.54000E+02      1.398187744E+03   -3.40586E-02
4.55000E+02      1.398125244E+03    3.32653E-03
4.56000E+02      1.398062744E+03    2.10579E-03
4.57000E+02      1.398000244E+03    4.24208E-03
4.58000E+02      1.397937744E+03    2.41097E-03
4.59000E+02      1.397875244E+03   -1.72735E-02
4.60000E+02      1.397812744E+03    3.47912E-03
4.61000E+02      1.397750244E+03   -1.77312E-02
4.62000E+02      1.397687744E+03   -3.93994E-02
4.63000E+02      1.397625244E+03   -2.39875E-02
4.64000E+02      1.397562744E+03   -1.10172E-02
4.65000E+02      1.397500244E+03    1.26347E-02
4.66000E+02      1.397437744E+03    1.50762E-02
4.67000E+02      1.397375244E+03    4.85245E-03
4.68000E+02      1.397312744E+03    3.93690E-03
4.69000E+02      1.397250244E+03    1.34283E-03
4.70000E+02      1.397187744E+03   -2.71920E-02
4.71000E+02      1.397125244E+03   -7.66013E-03
4.72000E+02      1.397062744E+03    7.90431E-03
4.73000E+02      1.397000244E+03   -1.66631E-02
4.74000E+02      1.396937744E+03   -6.88497E-02
4.75000E+02      1.396875244E+03   -8.27050E-03
4.76000E+02      1.396812744E+03    1.75176E-02
4.77000E+02      1.396750244E+03   -2.03253E-02
4.78000E+02      1.396687744E+03   -3.52794E-02
4.79000E+02      1.396625244E+03   -1.26957E-02
4.80000E+02      1.396562744E+03   -8.72828E-03
4.81000E+02      1.396500244E+03   -2.50557E-02
4.82000E+02      1.396437744E+03   -8.72828E-03
4.83000E+02      1.396375244E+03   -3.07016E-02
4.84000E+02      1.396312744E+03    1.34283E-03
4.85000E+02      1.396250244E+03   -2.07831E-02
